candidate,threshold,accuracy,prec_deceptive,recall_deceptive,f1_deceptive,prec_genuine,recall_genuine,f1_genuine,f1_macro,tn,fp,fn,tp
"Word TF-IDF + MultinomialNB (prior=[0.4, 0.6])",0.7,0.5714285714285714,0.8949480642115203,0.4528730139768248,0.6014119140160229,0.38843637334757647,0.8673225998807395,0.536567370653878,0.5689896423349505,2909,445,4580,3791
Word TF-IDF + ComplementNB,0.3,0.7408955223880597,0.7478390184961428,0.9611754867996655,0.8411918452692106,0.6635610766045549,0.19111508646392367,0.2967592592592593,0.568975552264235,641,2713,325,8046
Word TF-IDF + ComplementNB,0.35,0.7426012793176973,0.7637205636023253,0.9259347748178235,0.8370410367170626,0.6065989847715736,0.28503279666070364,0.38782961460446247,0.6124353256607625,956,2398,620,7751
Word TF-IDF + ComplementNB,0.4,0.7384221748400853,0.7846715328467153,0.873252896905985,0.826595804828405,0.5595682855956828,0.4019081693500298,0.46781190352247093,0.6472038541754379,1348,2006,1061,7310
Word TF-IDF + ComplementNB,0.45,0.7235820895522388,0.8087385652383245,0.8026520129016844,0.8056837939924456,0.5165349721978344,0.52623732856291,0.5213410131442918,0.6635124035683687,1765,1589,1652,6719
Word TF-IDF + ComplementNB,0.5,0.693816631130064,0.8375935602316057,0.7085175008959503,0.7676676158426093,0.47459086993970717,0.6571258199165176,0.5511377844461115,0.6594027001443604,2204,1150,2440,5931
Word TF-IDF + ComplementNB,0.55,0.6492110874200426,0.8709059233449478,0.5971807430414526,0.7085252639784565,0.43659147869674186,0.7790697674418605,0.55958882107292,0.6340570425256882,2613,741,3372,4999
Word TF-IDF + ComplementNB,0.6,0.5824307036247335,0.8915934189767861,0.47258392067853305,0.617738913179263,0.3942096597145993,0.8565891472868217,0.5399361022364217,0.5788375077078424,2873,481,4415,3956
Word TF-IDF + ComplementNB,0.65,0.5059275053304904,0.9097266369993643,0.3418946362441763,0.4970044282365199,0.357850565333955,0.915324985092427,0.5145395122768792,0.5057719702566996,3070,284,5509,2862
Word TF-IDF + ComplementNB,0.7,0.4400852878464819,0.9291825095057035,0.233544379405089,0.37326968973747016,0.3331254547344351,0.9555754323196184,0.49402697495183046,0.4336483323446503,3205,149,6416,1955
Word TF-IDF + LinearSVC,default,0.7159914712153518,0.8514851485148515,0.7294230080038228,0.7857418607643804,0.502635046113307,0.682468694096601,0.578907435508346,0.6823246481363632,2289,1065,2265,6106
Char TF-IDF + LinearSVC,default,0.7225586353944563,0.8535507046145344,0.7380241309282045,0.7915945928630918,0.5112547359037218,0.6839594514013119,0.5851294477745186,0.6883620203188052,2294,1060,2193,6178
